# scenario_id	status	covering_tests (semicolon-separated)
APP-049	active	CrispyVibesUnitTests.VibeSpaceStateTests/testReconcileProjectAvailabilityMovesMissingAndRecoversResolved
APP-050	active	CrispyVibesUITests.UITestPlaceholder/testAppSettingsThemeBuilderSupportsCustomTokenEditing
APP-051	active	CrispyVibesUnitTests.AppShellModelTests/testAppearancePreferenceMetadata; CrispyVibesUnitTests.AppShellModelTests/testCodeFontPreferenceHelpersClampAndResolveValues; CrispyVibesUnitTests.AppShellModelTests/testThemePresetMetadataIncludesExpandedOptions; CrispyVibesUnitTests.FileAndTerminalTabModelTests/testTerminalDisplayDensityFontSizes; CrispyVibesUnitTests.LayoutPersistenceServiceTests/testVibeSpaceFallsBackToGlobalRailDefaultsWhenVibeSpaceLayoutMissing
APP-052	active	CrispyVibesUnitTests.LayoutPersistenceServiceTests/testVibeSpaceCanvasModeAndOrientationPersistence; CrispyVibesUITests.UITestPlaceholder/testTerminalOnlyVibeSpaceViewToggleAndProjectPanesRender
APP-053	active	CrispyVibesUITests.UITestPlaceholder/testTerminalOnlyVibeSpaceViewToggleAndProjectPanesRender
APP-054	active	CrispyVibesUnitTests.LayoutPersistenceServiceTests/testVibeSpaceCanvasModeAndOrientationPersistence
APP-055	active	CrispyVibesUITests.UITestPlaceholder/testKeyboardShortcutFocusesSecondProjectDirectly; CrispyVibesUITests.UITestPlaceholder/testSwitchProjectFromRailAndKeyboardShortcut
APP-056	active	
APP-057	active	CrispyVibesUnitTests.AppShellModelTests/testTerminalTraversalAdjacentTargetCrossesProjectBoundaries; CrispyVibesUnitTests.AppShellModelTests/testTerminalTraversalFallsBackToFirstFocusedTabWhenActiveTabMissing
APP-058	active	CrispyVibesUnitTests.AppShellModelTests/testAppThemePaletteRoundTripAndRoleMutation; CrispyVibesUnitTests.AppShellModelTests/testAppThemePaletteSemanticMappingsUseCentralTokens; CrispyVibesUnitTests.AppShellModelTests/testAppThemeResolverReturnsPackagedPresetPalettes; CrispyVibesUITests.UITestPlaceholder/testAppSettingsThemeBuilderSupportsCustomTokenEditing
APP-059	active	CrispyVibesUITests.UITestPlaceholder/testTitleBarShowsVibeSpaceScopedActionsWhenVibeSpaceIsActive
APP-060	active	CrispyVibesUITests.UITestPlaceholder/testTitleBarShowsVibeSpaceScopedActionsWhenVibeSpaceIsActive
APP-061	active	CrispyVibesUITests.UITestPlaceholder/testTitleBarHidesVibeSpaceScopedActionsWhenNoVibeSpaceIsActive
APP-062	active	CrispyVibesUnitTests.AppShellModelTests/testWindowBackgroundDraggingPolicyAlwaysDisabled
APP-063	active	CrispyVibesUnitTests.VibeSpaceStateTests/testInitializationDeduplicatesAndTracksUnresolvedPaths; CrispyVibesUnitTests.VibeSpaceStateTests/testAddProjectsResolvesNewDirectoriesAndKeepsMissingPaths
APP-064	active	CrispyVibesUnitTests.AppShellModelTests/testAppUpdateScheduleAndVersionComparison
APP-065	active	CrispyVibesUnitTests.AppShellModelTests/testAppUpdateScheduleAndVersionComparison
APP-066	active	CrispyVibesUnitTests.AppShellModelTests/testAppUpdateManifestDecodingAndDecisionFlow
APP-067	active	CrispyVibesUnitTests.AppShellModelTests/testAppUpdateManifestDecodingAndDecisionFlow
APP-068	active	CrispyVibesUnitTests.AppShellModelTests/testAppUpdateFeedDefaultsAndInfoPlistMetadata
APP-069	active	CrispyVibesUnitTests.AppShellModelTests/testAppUpdateManifestRejectsInvalidDownloadURL
APP-070	active	
APP-071	active	
APP-073	active	
APP-072	active	CrispyVibesUnitTests.VibeSpaceManagementServiceTests/testPreservesSSHProjectPaths; CrispyVibesUnitTests.VibeSpaceManagementServiceTests/testLoadVibeSpacePreservesRemoteProjectIdentifiers
APP-078	active	
BRW-001	active	CrispyVibesUITests.BrowserUITests/testDetailedBrowserCanNavigateLocalFixtureAndZoom
BRW-002	active	CrispyVibesUITests.BrowserUITests/testTerminalBoardBrowserSpotlightCanBePinnedToDock
BRW-003	active	CrispyVibesUITests.BrowserUITests/testDetailedBrowserPersistsAcrossRelaunch
BRW-004	active	
BRW-005	active	
BRW-006	active	
BRW-007	active	
BRW-008	active	
BRW-009	active	
BRW-010	active	
BRW-011	active	
BRW-012	active	
EDT-001	active	CrispyVibesUITests.UITestPlaceholder/testExplorerSelectionUpdatesEditorTitle; CrispyVibesUnitTests.MarkdownViewModelTests/testOpenMarkdownEditAndSaveRoundTrip
EDT-002	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenMarkdownEditAndSaveRoundTrip; CrispyVibesIntegrationTests.VibeSpacePersistenceIntegrationTests/testWorkerEditorFlowForVibeSpaceFile
EDT-003	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenHTMLEditAndSaveRoundTrip
EDT-004	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenPlainTextIsEditable; CrispyVibesUnitTests.MarkdownViewModelTests/testOpenCodeFileDetectsLanguageAndUsesEditablePlainTextMode; CrispyVibesUnitTests.MarkdownViewModelTests/testOpenAdditionalCodeFilesDetectLanguageKinds; CrispyVibesUITests.UITestPlaceholder/testSelectingSwiftFileUsesCodeEditorRoute; CrispyVibesUITests.UITestPlaceholder/testSelectingAdditionalLanguageFilesRoutesToCodeEditors
EDT-005	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenImageAndPdfSetPreviewURLs; CrispyVibesUnitTests.MarkdownViewModelTests/testOpenSVGSetsImagePreviewURL; CrispyVibesUITests.UITestPlaceholder/testSelectingImageAndSVGFilesShowsPreviewers
EDT-006	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenImageAndPdfSetPreviewURLs
EDT-007	active	CrispyVibesUnitTests.MarkdownViewModelTests/testUnsupportedExtensionFallsBackToPlainTextWhenReadable
EDT-008	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenMissingUnsupportedFileSetsUnsupportedMessage
EDT-009	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenMarkdownEditAndSaveRoundTrip
EDT-010	active	CrispyVibesUnitTests.MarkdownViewModelTests/testMarkdownAutosavePersistsAfterDebounce
EDT-011	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenMarkdownEditAndSaveRoundTrip
EDT-012	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenMissingMarkdownSetsErrorState
EDT-013	active	CrispyVibesUITests.UITestPlaceholder/testEditorFindAndReplaceKeyboardShortcutsRevealControls
EDT-014	active	CrispyVibesUITests.UITestPlaceholder/testEditorFindAndReplaceKeyboardShortcutsRevealControls
EDT-015	active	
EDT-016	active	
EDT-017	active	
EDT-018	active	CrispyVibesUITests.UITestPlaceholder/testEditorFindAndReplaceKeyboardShortcutsRevealControls
EDT-019	active	CrispyVibesUITests.UITestPlaceholder/testEditorFindAndReplaceKeyboardShortcutsRevealControls
EDT-020	active	CrispyVibesUITests.UITestPlaceholder/testExplorerSelectionUpdatesEditorTitle
EDT-021	active	
EDT-022	active	
EDT-023	active	
EDT-024	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenHTMLEditAndSaveRoundTrip
EDT-025	active	
EDT-026	active	
EDT-027	active	
EDT-028	active	CrispyVibesUnitTests.MarkdownViewModelTests/testDefaultTitleWhenNoFileIsSelected
EDT-029	active	
EDT-030	active	
EDT-031	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenAdditionalCodeFilesDetectLanguageKinds; CrispyVibesUITests.UITestPlaceholder/testSelectingAdditionalLanguageFilesRoutesToCodeEditors
EDT-032	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenRFileUsesSpecializedRDocumentRoute; CrispyVibesUITests.UITestPlaceholder/testSelectingAdditionalLanguageFilesRoutesToCodeEditors
EDT-033	active	CrispyVibesUnitTests.AppShellModelTests/testRasterImagePreviewCenteredInsetsForSmallerImage; CrispyVibesUnitTests.AppShellModelTests/testRasterImagePreviewCenteredInsetsClampToZeroForOversizedScaledImage
EDT-034	active	CrispyVibesUITests.UITestPlaceholder/testSelectingImageAndSVGFilesShowsPreviewers
EDT-035	active	
EDT-036	active	
EDT-037	active	
EDT-038	active	
EDT-039	active	
EDT-040	active	CrispyVibesUnitTests.MarkdownViewModelTests/testExternalReloadKeepsCurrentContentUntilReplacementArrives
EDT-041	active	
EDT-042	active	
EDT-043	active	CrispyVibesUnitTests.MarkdownViewModelTests/testEditorTabLifecycleDeduplicatesAndClosesTabs
EDT-044	active	CrispyVibesUnitTests.MarkdownViewModelTests/testEditorTabLifecycleDeduplicatesAndClosesTabs; CrispyVibesUITests.EditorWorkflowsUITests/testDoubleClickOpensEditorTabAndReusesExistingTabForSameFile
EDT-045	active	CrispyVibesUnitTests.MarkdownViewModelTests/testEditorTabLifecycleDeduplicatesAndClosesTabs; CrispyVibesUITests.EditorWorkflowsUITests/testDoubleClickOpensEditorTabAndReusesExistingTabForSameFile
EDT-046	active	CrispyVibesUnitTests.MarkdownViewModelTests/testEditorTabLifecycleDeduplicatesAndClosesTabs
EDT-047	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testExplorerOpenRequestDifferentiatesPreviewAndOpenTab
EDT-048	active	
EDT-049	active	CrispyVibesUnitTests.MarkdownViewModelTests/testPreviewGitDiffLoadsDiffContentWhenRepositoryHasChanges
EDT-050	active	CrispyVibesUnitTests.MarkdownViewModelTests/testOpenSuppressesConnectionReadinessErrorsWhenRequested
EDT-051	active	
EDT-052	active	CrispyVibesUnitTests.MarkdownViewModelTests/testRemoteImageOpenMaterializesLocalPreviewFile; CrispyVibesUnitTests.MarkdownViewModelTests/testRemoteImageSaveWritesBackThroughProviderAndUpdatesStagedFile
EDT-053	active	CrispyVibesUnitTests.MarkdownViewModelTests/testRemotePDFOpenMaterializesLocalPreviewFile
SDB-001	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testSetRootFolderLoadsItemsAndGitState
SDB-002	active	
SDB-003	active	CrispyVibesUITests.UITestPlaceholder/testExplorerSidebarSwitchesBetweenFilesAndGitViews
SDB-004	active	CrispyVibesUITests.UITestPlaceholder/testGitSidebarTabShowsStatusState; CrispyVibesUITests.UITestPlaceholder/testExplorerSidebarSwitchesBetweenFilesAndGitViews
SDB-005	active	CrispyVibesUITests.UITestPlaceholder/testExplorerSidebarSwitchesBetweenFilesAndGitViews
SDB-006	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testRefreshTreeFailureAndCreateWithoutRootSurfaceErrors
SDB-011	active	
SDB-012	active	
SDB-013	active	
SCM-113	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testGitCloneRepositoryClonesIntoDestinationDirectoryAndReturnsPath
SDF-001	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testListTreeSortsAndIncludesHiddenItems
SDF-002	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testListTreeSortsAndIncludesHiddenItems; CrispyVibesUnitTests.FolderExplorerViewModelTests/testSetRootFolderIncludesDotFoldersAndMarksGitIgnoredEntries; CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testExplorerBehavioralPropertyShowsHiddenAndMarksIgnoredEntries
SDF-003	active	
SDF-004	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping
SDF-005	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping
SDF-006	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testToggleExpansionLoadsChildrenAndSearchMatchesNestedItems; CrispyVibesUnitTests.AppKitTreeViewCoordinatorTests/testDirectoryClickAndExpandNotificationEmitSingleExpandAction; CrispyVibesUnitTests.AppKitTreeViewCoordinatorTests/testLoadingDirectoryUsesInlineLoadingNode
SDF-007	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testToggleExpansionLoadsChildrenAndSearchMatchesNestedItems; CrispyVibesUnitTests.FolderExplorerViewModelTests/testCollapsingParentDirectoryClearsExpandedDescendants; CrispyVibesUnitTests.AppKitTreeViewCoordinatorTests/testDirectoryClickAndCollapseNotificationEmitSingleCollapseAction; CrispyVibesUnitTests.AppKitTreeViewCoordinatorTests/testNativeCollapseNotificationWithoutSelectionStillEmitsActionOnce; CrispyVibesUnitTests.AppKitTreeViewCoordinatorTests/testRefreshNodeCacheUpdatesCollapsedDirectoryChildren
SDF-008	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testToggleExpansionLoadsChildrenAndSearchMatchesNestedItems; CrispyVibesUnitTests.FolderExplorerViewModelTests/testToggleExpansionDoesNothingWhileSearchIsActive; CrispyVibesUnitTests.AppKitTreeViewCoordinatorTests/testSearchQueryTreatsVisibleDirectoriesAsExpandedAndSelectsInsteadOfToggling
SDF-009	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testToggleExpansionLoadsChildrenAndSearchMatchesNestedItems; CrispyVibesUITests.UITestPlaceholder/testExplorerSearchFiltersAndResetsResults
SDF-010	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testToggleExpansionLoadsChildrenAndSearchMatchesNestedItems; CrispyVibesUITests.UITestPlaceholder/testExplorerSearchFiltersAndResetsResults
SDF-011	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping; CrispyVibesUnitTests.PaneWorkerExecutorTests/testExplorerCreateRenameDeleteWorkflow
SDF-012	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping; CrispyVibesUnitTests.PaneWorkerExecutorTests/testExplorerCreateRenameDeleteWorkflow
SDF-013	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping
SDF-014	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping; CrispyVibesUnitTests.PaneWorkerExecutorTests/testExplorerCreateRenameDeleteWorkflow
SDF-015	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping
SDF-016	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testCreateRenameDeleteWorkflowAndSelectionMapping; CrispyVibesUnitTests.PaneWorkerExecutorTests/testExplorerCreateRenameDeleteWorkflow
SDF-017	active	
SDF-018	active	
SDF-019	active	CrispyVibesUITests.VibeSpaceAndNavigationUITests/testExplorerCreateButtonsCreateFileAndFolder
SDF-020	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testMoveItemBetweenDirectoriesUpdatesTreeAndSelection; CrispyVibesUnitTests.PaneWorkerExecutorTests/testExplorerMoveItemMovesFileBetweenDirectories
SDF-021	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testExplorerOpenRequestDifferentiatesPreviewAndOpenTab; CrispyVibesUITests.EditorWorkflowsUITests/testDoubleClickOpensEditorTabAndReusesExistingTabForSameFile
SDF-022	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testExplorerOpenRequestDifferentiatesPreviewAndOpenTab
SDF-023	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testSetRootFolderIncludesDotFoldersAndMarksGitIgnoredEntries; CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testExplorerBehavioralPropertyShowsHiddenAndMarksIgnoredEntries
SDF-024	active	CrispyVibesUnitTests.ExplorerItemDropPlannerTests/testPlansCopyAcrossProjectBoundaries; CrispyVibesUnitTests.FolderExplorerViewModelTests/testCopyItemBetweenDirectoriesKeepsSourceFileAndRefreshesTree; CrispyVibesUnitTests.PaneWorkerExecutorTests/testExplorerCopyItemCopiesFileBetweenDirectories
SDF-025	active	
SDF-026	active	
SDF-027	active	
SDG-001	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testSelectGitStatusItemHandlesMissingAndExistingFiles
SDG-002	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testSelectGitStatusItemHandlesMissingAndExistingFiles
SDG-003	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testSetRootFolderLoadsItemsAndGitState
SDG-004	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testGitStatusForNonRepository
SDG-005	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testGitStatusForNonRepository
SDG-006	active	
SDG-007	active	
SDG-008	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testGitStatusForRepositoryIncludesEntries
SDG-009	active	CrispyVibesUITests.UITestPlaceholder/testExplorerSidebarSwitchesBetweenFilesAndGitViews
SDG-010	active	CrispyVibesUnitTests.FolderExplorerViewModelTests/testSelectGitStatusItemHandlesMissingAndExistingFiles
SDG-011	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testGitBranchPayloadAndCheckoutFlow
SDG-012	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testGitBranchPayloadAndCheckoutFlow; CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testGitWorkflowBehavioralPropertyForStageCommitPushAndHistory
SDG-013	active	CrispyVibesUnitTests.PaneWorkerExecutorTests/testGitStageAndUnstagePropertyRoundTripAcrossRandomFiles; CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testGitWorkflowBehavioralPropertyForStageCommitPushAndHistory
SDG-014	active	CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testGitWorkflowBehavioralPropertyForStageCommitPushAndHistory
SDG-015	active	CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testGitWorkflowBehavioralPropertyForStageCommitPushAndHistory
SDG-016	active	CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testGitWorkflowBehavioralPropertyForStageCommitPushAndHistory
SDG-017	active	CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testGitWorkflowBehavioralPropertyForStageCommitPushAndHistory
SDG-018	active	CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testGitWorkflowBehavioralPropertyForStageCommitPushAndHistory
TRM-001	active	
TRM-002	active	CrispyVibesUITests.UITestPlaceholder/testTerminalTabCloseUpdatesVisibleTabCount
TRM-003	active	
TRM-004	active	CrispyVibesUnitTests.TerminalViewModelTests/testEnsureActiveTerminalCreatesDefaultTabWhenEmpty
TRM-005	active	CrispyVibesUnitTests.TerminalViewModelTests/testOpenOrSelectTabAvoidsDuplicates
TRM-006	active	CrispyVibesUnitTests.TerminalViewModelTests/testCreateAndCloseTab
TRM-007	active	CrispyVibesUnitTests.TerminalViewModelTests/testCreateAndCloseTab; CrispyVibesUITests.UITestPlaceholder/testTerminalTabCloseUpdatesVisibleTabCount
TRM-008	active	CrispyVibesUnitTests.TerminalViewModelTests/testOpenOrSelectTabAvoidsDuplicates
TRM-009	active	
TRM-010	active	
TRM-011	active	CrispyVibesUnitTests.FileAndTerminalTabModelTests/testTerminalDisplayDensityFontSizes
TRM-012	active	CrispyVibesUnitTests.FileAndTerminalTabModelTests/testTerminalDisplayDensityFontSizes
TRM-013	active	
TRM-014	active	
TRM-015	active	
TRM-016	active	
TRM-017	active	CrispyVibesUnitTests.TerminalViewModelTests/testSessionCallbacksUpdateTabMetadataAndActivity
TRM-018	active	
TRM-019	active	
TRM-020	active	CrispyVibesUnitTests.TerminalViewModelTests/testSessionCallbacksUpdateTabMetadataAndActivity
TRM-021	active	CrispyVibesUnitTests.TerminalViewModelTests/testSessionCallbacksUpdateTabMetadataAndActivity
TRM-022	active	CrispyVibesUnitTests.TerminalViewModelTests/testSessionCallbacksUpdateTabMetadataAndActivity
TRM-023	active	
TRM-024	active	
TRM-025	active	CrispyVibesUnitTests.TerminalViewModelTests/testRestartPaneClearsStateAndCreatesFreshTab; CrispyVibesUITests.UITestPlaceholder/testFocusedProjectRestartAndCloseControls
TRM-026	active	CrispyVibesUnitTests.TerminalViewModelTests/testRestoreTabsDeduplicatesAndSelectsActiveDirectory
TRM-027	active	CrispyVibesUnitTests.TerminalViewModelTests/testRestoreTabsDeduplicatesAndSelectsActiveDirectory
TRM-028	active	CrispyVibesUnitTests.TerminalViewModelTests/testEnsureActiveTerminalCreatesDefaultTabWhenEmpty; CrispyVibesUnitTests.TerminalViewModelTests/testRestoreTabsFallsBackToFirstWhenActiveDirectoryNotPresent
TRM-029	active	CrispyVibesUnitTests.TerminalViewModelTests/testTerminalPresetDefinitions; CrispyVibesUITests.UITestPlaceholder/testTerminalTabCreationAndPresetControls
TRM-030	active	CrispyVibesUnitTests.TerminalViewModelTests/testLaunchPresetSucceedsWhenExecutableExistsOnPath; CrispyVibesUnitTests.TerminalViewModelTests/testLaunchPresetSupportsAbsoluteExecutablePath; CrispyVibesUnitTests.TerminalViewModelTests/testLaunchPresetExecutesCommandInTerminalSession; CrispyVibesUITests.UITestPlaceholder/testTerminalTabCreationAndPresetControls
TRM-031	active	CrispyVibesUnitTests.TerminalViewModelTests/testLaunchPresetRejectsUnsupportedFullTrustMode; CrispyVibesUITests.UITestPlaceholder/testTerminalTabCreationAndPresetControls
TRM-032	active	CrispyVibesUnitTests.TerminalViewModelTests/testLaunchPresetReportsMissingExecutable
TRM-033	active	CrispyVibesUnitTests.FileAndTerminalTabModelTests/testTerminalDisplayDensityFontSizes
TRM-034	active	CrispyVibesUnitTests.TerminalViewModelTests/testEnsureActiveTerminalCreatesDefaultTabWhenEmpty; CrispyVibesUITests.UITestPlaceholder/testTerminalOnlyVibeSpaceViewToggleAndProjectPanesRender
TRM-035	active	CrispyVibesUITests.UITestPlaceholder/testTerminalOnlyVibeSpaceViewToggleAndProjectPanesRender
TRM-036	active	
TRM-037	active	CrispyVibesUnitTests.VibeSpaceShortcutProviderTests/testUpdateLoadsVibeSpaceAndFocusedProjectShortcuts; CrispyVibesUnitTests.VibeSpaceShortcutProviderTests/testProviderReloadsWhenVibeSpaceShortcutsChangeNotificationFires; CrispyVibesUnitTests.VibeSpaceManagementServiceTests/testPersistencePlanBucketsRowsByCurrentTarget
TRM-038	active	CrispyVibesUnitTests.TerminalViewModelTests/testRunShortcutInCurrentTerminalUsesFocusedTabAndQueuesCommand; CrispyVibesUITests.TerminalInteractionUITests/testScopedShortcutCurrentTerminalRunsInFocusedTerminalWithoutAddingTab
TRM-039	active	CrispyVibesUITests.UITestPlaceholder/testTerminalOnlySingleSessionFillsPaneAndSplitsOnNewTab
